exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_047,4.12,31.51,6.24,87.5,100,2017-01-27T18:05:30.000Z,2017-01-27T18:07:30.000Z,00:11:81:10:01:0c,W2-7F,8,8,"[ { ""$date"" : ""2017-01-28T03:05:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:05:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:20.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",41.67,4.17,41.67,12.5
170127_048,3.77,28.83,6.11,91.67,100,2017-01-27T18:05:30.000Z,2017-01-27T18:07:30.000Z,00:11:81:10:01:0e,W2-7F,8,8,"[ { ""$date"" : ""2017-01-28T03:05:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:05:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:20.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",50,0,41.67,8.33
170127_049,3.88,29.62,5.49,91.67,100,2017-01-27T18:05:30.000Z,2017-01-27T18:07:30.000Z,00:11:81:10:01:3d,W2-7F,8,8,"[ { ""$date"" : ""2017-01-28T03:05:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:05:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:06:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:07:20.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",37.5,8.33,45.83,8.33
170127_050,1.33,10.16,2.07,100,100,2017-01-27T18:19:00.000Z,2017-01-27T18:29:00.000Z,00:11:81:10:01:3f,W2-9F,5,5,[],[],76.67,23.33,0,0
170127_051,0.56,4.29,0.9,100,100,2017-01-27T18:19:00.000Z,2017-01-27T18:29:00.000Z,00:11:81:10:01:41,W2-9F,5,5,[],[],90,10,0,0
170127_052,1.86,14.24,2.68,95,100,2017-01-27T18:19:00.000Z,2017-01-27T18:29:00.000Z,00:11:81:10:01:43,W2-9F,7,7,[],[],85,10,0,5
170127_053,0.7,5.38,1.1,100,100,2017-01-27T18:19:00.000Z,2017-01-27T18:29:00.000Z,00:11:81:10:01:45,W2-9F,7,7,[],[],90,10,0,0
170127_054,1.69,12.89,2.26,95,100,2017-01-27T18:12:00.000Z,2017-01-27T18:22:00.000Z,00:11:81:10:01:46,W2-9F,18,18,[],[],88.33,6.67,0,5
170127_055,1.23,9.4,1.81,98.33,100,2017-01-27T18:12:00.000Z,2017-01-27T18:22:00.000Z,00:11:81:10:01:4a,W2-9F,18,18,[],[],88.33,10,0,1.67
170127_056,5.41,41.34,8.58,81.67,100,2017-01-27T18:12:00.000Z,2017-01-27T18:22:00.000Z,00:11:81:10:01:48,W2-9F,22,21,[],[],0,0,81.67,18.33
